acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,face,jitter,line,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
1,prac,1,A,haborder.png,1,z,Thu Aug 29 2024 16:24:47 GMT-0500 (Central Daylight Time),77858.0,CFD-BF-031-020-A.jpg,1000,solid,O,z,1007,4,1,2832.600000023842,75025.39999997616,7012,ATS,C,1
1,prac,1,A,haborder.png,0,m,Thu Aug 29 2024 16:24:47 GMT-0500 (Central Daylight Time),81423.30000001192,CFD-BF-019-004-HC.jpg,2000,solid,O,z,744,5,1,6397.900000035763,75025.39999997616,7012,ATS,C,2
2,prac,1,A,haborder.png,1,z,Thu Aug 29 2024 16:24:47 GMT-0500 (Central Daylight Time),84072.30000001192,CFD-WF-023-013-A.jpg,1000,solid,O,z,835,12,1,9046.900000035763,75025.39999997616,7012,ATS,C,3
3,prac,1,A,haborder.png,1,z,Thu Aug 29 2024 16:24:47 GMT-0500 (Central Daylight Time),87954.39999997616,CFD-WM-036-018-A.jpg,1900,solid,O,z,1149,8,1,12929.0,75025.39999997616,7012,ATS,C,4
4,prac,1,A,haborder.png,1,m,Thu Aug 29 2024 16:24:47 GMT-0500 (Central Daylight Time),90986.59999996424,CFD-WF-013-009-HC.jpg,1500,solid,O,m,715,11,1,15961.199999988079,75025.39999997616,7012,ATS,C,5
5,prac,1,A,haborder.png,1,z,Thu Aug 29 2024 16:24:47 GMT-0500 (Central Daylight Time),93885.80000001192,CFD-BF-002-018-A.jpg,1200,solid,O,z,871,6,1,18860.400000035763,75025.39999997616,7012,ATS,C,6
6,prac,1,A,haborder.png,1,m,Thu Aug 29 2024 16:24:47 GMT-0500 (Central Daylight Time),97051.30000001192,CFD-WM-028-005-HC.jpg,1400,solid,O,m,939,7,1,22025.900000035763,75025.39999997616,7012,ATS,C,7
7,prac,1,A,haborder.png,1,m,Thu Aug 29 2024 16:24:47 GMT-0500 (Central Daylight Time),100267.0,CFD-BM-022-004-HC.jpg,1500,solid,O,m,915,3,1,25241.600000023842,75025.39999997616,7012,ATS,C,8
8,prac,1,A,haborder.png,1,z,Thu Aug 29 2024 16:24:47 GMT-0500 (Central Daylight Time),103682.5,CFD-BM-043-014-A.jpg,1600,solid,O,z,991,2,1,28657.100000023842,75025.39999997616,7012,ATS,C,9
9,prac,1,A,haborder.png,1,z,Thu Aug 29 2024 16:24:47 GMT-0500 (Central Daylight Time),106897.89999997616,CFD-WF-037-016-A.jpg,1600,solid,O,z,791,10,1,31872.5,75025.39999997616,7012,ATS,C,10
10,prac,1,A,haborder.png,1,m,Thu Aug 29 2024 16:24:47 GMT-0500 (Central Daylight Time),110330.39999997616,CFD-WM-035-036-HC.jpg,1700,solid,O,m,900,9,1,35305.0,75025.39999997616,7012,ATS,C,11
11,prac,1,A,haborder.png,1,m,Thu Aug 29 2024 16:24:47 GMT-0500 (Central Daylight Time),113762.59999996424,CFD-BM-034-035-HC.jpg,1700,solid,O,m,916,1,1,38737.19999998808,75025.39999997616,7012,ATS,C,12
