acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,face,jitter,line,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
0,prac,1,A,haborder.png,0,z,Fri Feb 07 2025 15:46:13 GMT-0600 (Central Standard Time),78118.0,CFD-WF-003-014-A.jpg,1600,solid,O,None,1514,10,1,3898.89999999851,74219.10000000149,7040,ATS,A,1
1,prac,1,A,haborder.png,1,z,Fri Feb 07 2025 15:46:13 GMT-0600 (Central Standard Time),80817.30000000447,CFD-BF-039-039-A.jpg,1200,solid,O,z,707,6,1,6598.20000000298,74219.10000000149,7040,ATS,A,2
2,prac,1,A,haborder.png,1,m,Fri Feb 07 2025 15:46:13 GMT-0600 (Central Standard Time),83966.30000000447,CFD-BM-017-052-HC.jpg,1700,solid,O,m,650,1,1,9747.20000000298,74219.10000000149,7040,ATS,A,3
3,prac,1,A,haborder.png,1,z,Fri Feb 07 2025 15:46:13 GMT-0600 (Central Standard Time),87294.20000000298,CFD-WM-013-015-A.jpg,1900,solid,O,z,534,8,1,13075.10000000149,74219.10000000149,7040,ATS,A,4
4,prac,1,A,haborder.png,1,z,Fri Feb 07 2025 15:46:13 GMT-0600 (Central Standard Time),90430.90000000596,CFD-BM-005-010-A.jpg,1600,solid,O,z,716,2,1,16211.80000000447,74219.10000000149,7040,ATS,A,5
5,prac,1,A,haborder.png,1,z,Fri Feb 07 2025 15:46:13 GMT-0600 (Central Standard Time),93013.40000000596,CFD-BF-023-013-A.jpg,1000,solid,O,z,785,4,1,18794.30000000447,74219.10000000149,7040,ATS,A,6
6,prac,1,A,haborder.png,1,m,Fri Feb 07 2025 15:46:13 GMT-0600 (Central Standard Time),96545.5,CFD-BF-028-020-HC.jpg,2000,solid,O,m,738,5,1,22326.39999999851,74219.10000000149,7040,ATS,A,7
7,prac,1,A,haborder.png,1,m,Fri Feb 07 2025 15:46:13 GMT-0600 (Central Standard Time),99478.0,CFD-WF-017-016-HC.jpg,1500,solid,O,m,642,11,1,25258.89999999851,74219.10000000149,7040,ATS,A,8
8,prac,1,A,haborder.png,1,m,Fri Feb 07 2025 15:46:13 GMT-0600 (Central Standard Time),102127.30000000447,CFD-WM-004-005-HC.jpg,1400,solid,O,m,458,7,1,27908.20000000298,74219.10000000149,7040,ATS,A,9
9,prac,1,A,haborder.png,1,m,Fri Feb 07 2025 15:46:13 GMT-0600 (Central Standard Time),105009.60000000149,CFD-BM-029-026-HC.jpg,1500,solid,O,m,587,3,1,30790.5,74219.10000000149,7040,ATS,A,10
