acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,face,jitter,line,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
1,prac,1,A,haborder.png,1,m,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),72668.29999923706,CFD-BM-020-024-HC.jpg,1500,solid,I,m,737,3,3,3050.199998855591,69618.10000038147,9002,ATS,B,1
2,prac,1,A,haborder.png,1,z,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),75401.70000076294,CFD-BF-051-043-A.jpg,1000,solid,I,z,923,4,3,5783.60000038147,69618.10000038147,9002,ATS,B,2
3,prac,1,A,haborder.png,1,z,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),78034.79999923706,CFD-WF-013-015-A.jpg,1000,solid,I,z,828,12,3,8416.69999885559,69618.10000038147,9002,ATS,B,3
4,prac,1,A,haborder.png,1,m,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),81367.79999923706,CFD-WM-012-007-HC.jpg,1700,solid,I,m,824,9,3,11749.69999885559,69618.10000038147,9002,ATS,B,4
5,prac,1,A,haborder.png,1,z,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),84851.60000038147,CFD-WM-009-009-A.jpg,1900,solid,I,z,795,8,3,15233.5,69618.10000038147,9002,ATS,B,5
6,prac,1,A,haborder.png,1,z,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),88168.0,CFD-BM-037-041-A.jpg,1600,solid,I,z,907,2,3,18549.89999961853,69618.10000038147,9002,ATS,B,6
7,prac,1,A,haborder.png,1,z,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),90968.29999923706,CFD-BF-050-012-A.jpg,1200,solid,I,z,789,6,3,21350.19999885559,69618.10000038147,9002,ATS,B,7
8,prac,1,A,haborder.png,1,z,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),94118.20000076294,CFD-WF-026-008-A.jpg,1600,solid,I,z,743,10,3,24500.10000038147,69618.10000038147,9002,ATS,B,8
9,prac,1,A,haborder.png,1,m,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),97251.5,CFD-WF-011-006-HC.jpg,1500,solid,I,m,829,11,3,27633.39999961853,69618.10000038147,9002,ATS,B,9
10,prac,1,A,haborder.png,1,m,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),100734.10000038147,CFD-BM-015-017-HC.jpg,1700,solid,I,m,969,1,3,31116.0,69618.10000038147,9002,ATS,B,10
11,prac,1,A,haborder.png,1,m,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),103617.79999923706,CFD-WM-011-006-HC.jpg,1400,solid,I,m,680,7,3,33999.69999885559,69618.10000038147,9002,ATS,B,11
12,prac,1,A,haborder.png,1,m,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),107118.20000076294,CFD-BF-035-007-HC.jpg,2000,solid,I,m,686,5,3,37500.10000038147,69618.10000038147,9002,ATS,B,12
1,prac,1,B,mfborder.png,1,z,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),144467.79999923706,CFD-BF-027-013-HC.jpg,1500,dash,I,z,861,3,3,3150.0,141317.79999923706,9002,ATS,B,1
2,prac,1,B,mfborder.png,1,m,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),147234.89999961853,CFD-WM-037-060-A.jpg,1200,dash,I,m,762,6,3,5917.10000038147,141317.79999923706,9002,ATS,B,2
3,prac,1,B,mfborder.png,1,m,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),150835.0,CFD-WM-009-009-A.jpg,1700,dash,I,m,1095,9,3,9517.20000076294,141317.79999923706,9002,ATS,B,3
4,prac,1,B,mfborder.png,1,z,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),154034.70000076294,CFD-WF-026-008-A.jpg,1500,dash,I,z,895,11,3,12716.900001525879,141317.79999923706,9002,ATS,B,4
5,prac,1,B,mfborder.png,1,z,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),156718.29999923706,CFD-BF-051-043-A.jpg,1000,dash,I,z,867,4,3,15400.5,141317.79999923706,9002,ATS,B,5
6,prac,1,B,mfborder.png,1,m,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),160801.70000076294,CFD-BM-037-041-A.jpg,2000,dash,I,m,1264,5,3,19483.90000152588,141317.79999923706,9002,ATS,B,6
7,prac,1,B,mfborder.png,1,m,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),164168.39999961853,CFD-BM-020-024-HC.jpg,1700,dash,I,m,858,1,3,22850.60000038147,141317.79999923706,9002,ATS,B,7
8,prac,1,B,mfborder.png,1,z,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),167534.89999961853,CFD-WF-027-007-HC.jpg,1900,dash,I,z,652,8,3,26217.10000038147,141317.79999923706,9002,ATS,B,8
9,prac,1,B,mfborder.png,1,z,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),170068.10000038147,CFD-WF-011-006-HC.jpg,1000,dash,I,z,726,12,3,28750.30000114441,141317.79999923706,9002,ATS,B,9
9,prac,1,B,mfborder.png,0,z,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),173084.79999923706,CFD-BF-035-007-HC.jpg,1400,dash,I,m,819,7,3,31767.0,141317.79999923706,9002,ATS,B,10
10,prac,1,B,mfborder.png,1,m,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),176818.39999961853,CFD-BM-041-048-A.jpg,1600,dash,I,m,1330,2,3,35500.60000038147,141317.79999923706,9002,ATS,B,11
11,prac,1,B,mfborder.png,1,m,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),179968.20000076294,CFD-WM-012-007-HC.jpg,1600,dash,I,m,732,10,3,38650.40000152588,141317.79999923706,9002,ATS,B,12
1,test,1,A,haborder.png,1,m,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),214918.39999961853,CFD-WF-011-006-HC.jpg,1500,solid,I,m,954,11,3,2483.3999996185303,212435.0,9002,ATS,B,1
2,test,1,A,haborder.png,1,z,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),217534.5,CFD-WF-026-008-A.jpg,1600,solid,I,z,984,10,3,5099.5,212435.0,9002,ATS,B,2
3,test,1,A,haborder.png,1,m,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),220318.29999923706,CFD-BF-035-007-HC.jpg,2000,solid,I,m,753,5,3,7883.299999237061,212435.0,9002,ATS,B,3
4,test,1,A,haborder.png,1,m,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),222684.79999923706,CFD-WF-011-006-HC.jpg,1500,solid,I,m,837,11,3,10249.79999923706,212435.0,9002,ATS,B,4
5,test,1,A,haborder.png,1,z,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),225418.0,CFD-WM-009-009-A.jpg,1900,solid,I,z,807,8,3,12983.0,212435.0,9002,ATS,B,5
6,test,1,A,haborder.png,1,m,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),227518.20000076294,CFD-BM-020-024-HC.jpg,1500,solid,I,m,569,3,3,15083.20000076294,212435.0,9002,ATS,B,6
7,test,1,A,haborder.png,1,m,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),230101.5,CFD-BM-015-017-HC.jpg,1700,solid,I,m,863,1,3,17666.5,212435.0,9002,ATS,B,7
8,test,1,A,haborder.png,1,m,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),232168.20000076294,CFD-WM-011-006-HC.jpg,1400,solid,I,m,641,7,3,19733.20000076294,212435.0,9002,ATS,B,8
9,test,1,A,haborder.png,1,z,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),234701.70000076294,CFD-BM-037-041-A.jpg,1600,solid,I,z,897,2,3,22266.70000076294,212435.0,9002,ATS,B,9
10,test,1,A,haborder.png,1,z,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),237168.0,CFD-WF-026-008-A.jpg,1600,solid,I,z,827,10,3,24733.0,212435.0,9002,ATS,B,10
11,test,1,A,haborder.png,1,z,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),239284.60000038147,CFD-BF-050-012-A.jpg,1200,solid,I,z,895,6,3,26849.60000038147,212435.0,9002,ATS,B,11
12,test,1,A,haborder.png,1,m,Fri Jan 17 2025 13:11:55 GMT-0500 (Eastern Standard Time),241601.20000076294,CFD-BM-020-024-HC.jpg,1500,solid,I,m,775,3,3,29166.20000076294,212435.0,9002,ATS,B,12
